# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	459
#@/user_id	1b1956fa-e7eb-4c46-9160-185902ff9fc6
a 	啊	c=1 d=1 t=393
yong fa 	用法	c=1 d=1 t=151
yong you 	擁有	c=1 d=1 t=208
you 	又	c=1 d=1 t=245
you qi shi 	尤其是	c=1 d=1 t=107
yuan cheng 	遠程	c=1 d=1 t=458
yuan qi 	怨氣	c=1 d=1 t=419
yue 	月	c=0 d=0.1 t=9
zai 	再	c=2 d=1.91851 t=266
zai 	在	c=0 d=0.1 t=242
zai hu 	在乎	c=1 d=1.07045 t=349
zai jian 	再見	c=1 d=1 t=397
zai ta 	在他	c=1 d=1 t=353
zai zhe me 	在這麼	c=1 d=1 t=243
zao wang 	早亡	c=1 d=1 t=399
zen me 	怎麼	c=2 d=1.55711 t=299
zhe 	這	c=1 d=1 t=228
zhe cai shi 	這纔是	c=2 d=1.9802 t=147
zhe ge 	這個	c=5 d=3.24178 t=388
zhe ge 	這歌	c=1 d=1 t=418
zhe ge ren 	這個人	c=1 d=1 t=335
zhe ge shi 	這個事	c=1 d=1 t=352
zhe jian 	這件	c=1 d=1 t=196
zhe me 	這麼	c=0 d=0.16942 t=315
zhe yang 	這樣	c=2 d=1.28508 t=267
zhe zhong 	這種	c=1 d=0.863379 t=238
zhe zhong ren 	這種人	c=0 d=0.1 t=297
zhe zhong ti 	這種題	c=1 d=1 t=239
zhen de 	真的	c=1 d=1 t=333
zhen shi 	真是	c=1 d=1 t=400
zhen ti 	真題	c=1 d=1 t=174
zhen tou 	枕頭	c=0 d=0.1 t=38
zhen zheng 	真正	c=1 d=1 t=150
zheng zhi 	政治	c=1 d=1 t=180
zhi bo 	直播	c=0 d=0.1 t=388
zhi bo jian 	直播見	c=1 d=1 t=389
zhi dao 	知道	c=1 d=1 t=442
zhi neng 	只能	c=1 d=1 t=326
zhi shang 	智商	c=1 d=1 t=417
zhong dian 	重點	c=1 d=1 t=120
zhong guo 	中國	c=1 d=1 t=186
zhong guo ren min 	中國人民	c=0 d=0.1 t=83
zhong guo ren min min jie fang jun 	中國人民民解放軍	c=1 d=1 t=84
zhong jin 	重金	c=1 d=1 t=355
zhong zhou yun 	中州韻	c=1 d=1 t=79
zhou 	肘	c=1 d=1 t=302
zhou wo 	咒我	c=1 d=1 t=364
zhu 	祝	c=1 d=1 t=398
zhuan 	賺	c=2 d=1.98511 t=446
zhuan qian 	賺錢	c=1 d=1 t=453
zhuang 	裝	c=0 d=0.1 t=139
zhuang bu zhuang 	裝不裝	c=1 d=1 t=140
zhuang tai 	狀態	c=0 d=0.1 t=256
zi bei 	自卑	c=1 d=1 t=314
zi dong 	自動	c=1 d=1 t=207
zi ji 	自己	c=2 d=1.8781 t=281
zi shi 	姿勢	c=1 d=1 t=231
zu zhou 	詛咒	c=0 d=0.1 t=337
zu zhou wo 	詛咒我	c=2 d=1.96079 t=346
zui hao 	最好	c=1 d=1 t=157
zuo 	做	c=2 d=1.56553 t=408
